municipio,ano,cor,populacao
Adamantina,2010,Total,33797
Adolfo,2010,Total,3557
Aguaí,2010,Total,32148
Águas da Prata,2010,Total,7584
Águas de Lindóia,2010,Total,17266
Águas de Santa Bárbara,2010,Total,5601
Águas de São Pedro,2010,Total,2707
Agudos,2010,Total,34524
Alambari,2010,Total,4884
Alfredo Marcondes,2010,Total,3891
Altair,2010,Total,3815
Altinópolis,2010,Total,15607
Alto Alegre,2010,Total,4102
Alumínio,2010,Total,16839
Álvares Florence,2010,Total,3897
Álvares Machado,2010,Total,23513
Álvaro de Carvalho,2010,Total,4650
Alvinlândia,2010,Total,3000
Americana,2010,Total,210638
Américo Brasiliense,2010,Total,34478
Américo de Campos,2010,Total,5706
Amparo,2010,Total,65829
Analândia,2010,Total,4293
Andradina,2010,Total,55334
Angatuba,2010,Total,22210
Anhembi,2010,Total,5653
Anhumas,2010,Total,3738
Aparecida,2010,Total,35007
Aparecida d'Oeste,2010,Total,4450
Apiaí,2010,Total,25191
Araçariguama,2010,Total,17080
Araçatuba,2010,Total,181579
Araçoiaba da Serra,2010,Total,27299
Aramina,2010,Total,5152
Arandu,2010,Total,6123
Arapeí,2010,Total,2493
Araraquara,2010,Total,208662
Araras,2010,Total,118843
Arco-Íris,2010,Total,1925
Arealva,2010,Total,7841
Areias,2010,Total,3696
Areiópolis,2010,Total,10579
Ariranha,2010,Total,8547
Artur Nogueira,2010,Total,44177
Arujá,2010,Total,74905
Aspásia,2010,Total,1809
Assis,2010,Total,95144
Atibaia,2010,Total,126603
Auriflama,2010,Total,14202
Avaí,2010,Total,4959
Avanhandava,2010,Total,11310
Avaré,2010,Total,82934
Bady Bassitt,2010,Total,14603
Balbinos,2010,Total,3702
Bálsamo,2010,Total,8160
Bananal,2010,Total,10223
Barão de Antonina,2010,Total,3116
Barbosa,2010,Total,6593
Bariri,2010,Total,31593
Barra Bonita,2010,Total,35246
Barra do Chapéu,2010,Total,5244
Barra do Turvo,2010,Total,7729
Barretos,2010,Total,112101
Barrinha,2010,Total,28496
Barueri,2010,Total,240749
Bastos,2010,Total,20445
Batatais,2010,Total,56476
Bauru,2010,Total,343937
Bebedouro,2010,Total,75035
Bento de Abreu,2010,Total,2674
Bernardino de Campos,2010,Total,10775
Bertioga,2010,Total,47645
Bilac,2010,Total,7048
Birigui,2010,Total,108728
Biritiba Mirim,2010,Total,28575
Boa Esperança do Sul,2010,Total,13645
Bocaina,2010,Total,10859
Bofete,2010,Total,9618
Boituva,2010,Total,48314
Bom Jesus dos Perdões,2010,Total,19708
Bom Sucesso de Itararé,2010,Total,3571
Borá,2010,Total,805
Boracéia,2010,Total,4268
Borborema,2010,Total,14529
Borebi,2010,Total,2293
Botucatu,2010,Total,127328
Bragança Paulista,2010,Total,146744
Braúna,2010,Total,5021
Brejo Alegre,2010,Total,2573
Brodowski,2010,Total,21107
Brotas,2010,Total,21580
Buri,2010,Total,18563
Buritama,2010,Total,15418
Buritizal,2010,Total,4053
Cabrália Paulista,2010,Total,4365
Cabreúva,2010,Total,41604
Caçapava,2010,Total,84752
Cachoeira Paulista,2010,Total,30091
Caconde,2010,Total,18538
Cafelândia,2010,Total,16607
Caiabu,2010,Total,4072
Caieiras,2010,Total,86529
Caiuá,2010,Total,5039
Cajamar,2010,Total,64114
Cajati,2010,Total,28372
Cajobi,2010,Total,9768
Cajuru,2010,Total,23371
Campina do Monte Alegre,2010,Total,5567
Campinas,2010,Total,1080113
Campo Limpo Paulista,2010,Total,74074
Campos do Jordão,2010,Total,47789
Campos Novos Paulista,2010,Total,4539
Cananéia,2010,Total,12226
Canas,2010,Total,4385
Cândido Mota,2010,Total,29884
Cândido Rodrigues,2010,Total,2668
Canitar,2010,Total,4369
Capão Bonito,2010,Total,46178
Capela do Alto,2010,Total,17532
Capivari,2010,Total,48576
Caraguatatuba,2010,Total,100840
Carapicuíba,2010,Total,369584
Cardoso,2010,Total,11805
Casa Branca,2010,Total,28307
Cássia dos Coqueiros,2010,Total,2634
Castilho,2010,Total,18003
Catanduva,2010,Total,112820
Catiguá,2010,Total,7127
Cedral,2010,Total,7972
Cerqueira César,2010,Total,17532
Cerquilho,2010,Total,39617
Cesário Lange,2010,Total,15540
Charqueada,2010,Total,15085
Clementina,2010,Total,7065
Colina,2010,Total,17371
Colômbia,2010,Total,5994
Conchal,2010,Total,25229
Conchas,2010,Total,16288
Cordeirópolis,2010,Total,21080
Coroados,2010,Total,5238
Coronel Macedo,2010,Total,5001
Corumbataí,2010,Total,3874
Cosmópolis,2010,Total,58827
Cosmorama,2010,Total,7214
Cotia,2010,Total,201150
Cravinhos,2010,Total,31691
Cristais Paulista,2010,Total,7588
Cruzália,2010,Total,2274
Cruzeiro,2010,Total,77039
Cubatão,2010,Total,118720
Cunha,2010,Total,21866
Descalvado,2010,Total,31056
Diadema,2010,Total,386089
Dirce Reis,2010,Total,1689
Divinolândia,2010,Total,11208
Dobrada,2010,Total,7939
Dois Córregos,2010,Total,24761
Dolcinópolis,2010,Total,2096
Dourado,2010,Total,8609
Dracena,2010,Total,43258
Duartina,2010,Total,12251
Dumont,2010,Total,8143
Echaporã,2010,Total,6318
Eldorado,2010,Total,14641
Elias Fausto,2010,Total,15775
Elisiário,2010,Total,3120
Embaúba,2010,Total,2423
Embu das Artes,2010,Total,240230
Embu-Guaçu,2010,Total,62769
Emilianópolis,2010,Total,3020
Engenheiro Coelho,2010,Total,15721
Espírito Santo do Pinhal,2010,Total,41907
Espírito Santo do Turvo,2010,Total,4244
Estrela d'Oeste,2010,Total,8208
Estrela do Norte,2010,Total,2658
Euclides da Cunha Paulista,2010,Total,9585
Fartura,2010,Total,15320
Fernandópolis,2010,Total,64696
Fernando Prestes,2010,Total,5534
Fernão,2010,Total,1563
Ferraz de Vasconcelos,2010,Total,168306
Flora Rica,2010,Total,1752
Floreal,2010,Total,3003
Flórida Paulista,2010,Total,12848
Florínea,2010,Total,2829
Franca,2010,Total,318640
Francisco Morato,2010,Total,154472
Franco da Rocha,2010,Total,131604
Gabriel Monteiro,2010,Total,2708
Gália,2010,Total,7011
Garça,2010,Total,43115
Gastão Vidigal,2010,Total,4193
Gavião Peixoto,2010,Total,4419
General Salgado,2010,Total,10669
Getulina,2010,Total,10765
Glicério,2010,Total,4565
Guaiçara,2010,Total,10670
Guaimbê,2010,Total,5425
Guaíra,2010,Total,37404
Guapiaçu,2010,Total,17869
Guapiara,2010,Total,17998
Guará,2010,Total,19858
Guaraçaí,2010,Total,8435
Guaraci,2010,Total,9976
Guarani d'Oeste,2010,Total,1970
Guarantã,2010,Total,6404
Guararapes,2010,Total,30597
Guararema,2010,Total,25844
Guaratinguetá,2010,Total,112072
Guareí,2010,Total,14565
Guariba,2010,Total,35486
Guarujá,2010,Total,290752
Guarulhos,2010,Total,1221979
Guatapará,2010,Total,6966
Guzolândia,2010,Total,4754
Herculândia,2010,Total,8696
Holambra,2010,Total,11299
Hortolândia,2010,Total,192692
Iacanga,2010,Total,10013
Iacri,2010,Total,6419
Iaras,2010,Total,6376
Ibaté,2010,Total,30734
Ibirá,2010,Total,10896
Ibirarema,2010,Total,6725
Ibitinga,2010,Total,53158
Ibiúna,2010,Total,71217
Icém,2010,Total,7462
Iepê,2010,Total,7628
Igaraçu do Tietê,2010,Total,23362
Igarapava,2010,Total,27952
Igaratá,2010,Total,8831
Iguape,2010,Total,28841
Ilhabela,2010,Total,28196
Ilha Comprida,2010,Total,9025
Ilha Solteira,2010,Total,25064
Indaiatuba,2010,Total,201619
Indiana,2010,Total,4825
Indiaporã,2010,Total,3903
Inúbia Paulista,2010,Total,3630
Ipaussu,2010,Total,13663
Iperó,2010,Total,28300
Ipeúna,2010,Total,6016
Ipiguá,2010,Total,4463
Iporanga,2010,Total,4299
Ipuã,2010,Total,14148
Iracemápolis,2010,Total,20029
Irapuã,2010,Total,7275
Irapuru,2010,Total,7789
Itaberá,2010,Total,17858
Itaí,2010,Total,24008
Itajobi,2010,Total,14556
Itaju,2010,Total,3246
Itanhaém,2010,Total,87057
Itaoca,2010,Total,3228
Itapecerica da Serra,2010,Total,152614
Itapetininga,2010,Total,144377
Itapeva,2010,Total,87753
Itapevi,2010,Total,200769
Itapira,2010,Total,68537
Itapirapuã Paulista,2010,Total,3880
Itápolis,2010,Total,40051
Itaporanga,2010,Total,14549
Itapuí,2010,Total,12173
Itapura,2010,Total,4357
Itaquaquecetuba,2010,Total,321770
Itararé,2010,Total,47934
Itariri,2010,Total,15471
Itatiba,2010,Total,101471
Itatinga,2010,Total,18052
Itirapina,2010,Total,15524
Itirapuã,2010,Total,5914
Itobi,2010,Total,7546
Itu,2010,Total,154147
Itupeva,2010,Total,44859
Ituverava,2010,Total,38695
Jaborandi,2010,Total,6592
Jaboticabal,2010,Total,71662
Jacareí,2010,Total,211214
Jaci,2010,Total,5657
Jacupiranga,2010,Total,17208
Jaguariúna,2010,Total,44311
Jales,2010,Total,47012
Jambeiro,2010,Total,5349
Jandira,2010,Total,108344
Jardinópolis,2010,Total,37661
Jarinu,2010,Total,23847
Jaú,2010,Total,131040
Jeriquara,2010,Total,3160
Joanópolis,2010,Total,11768
João Ramalho,2010,Total,4150
José Bonifácio,2010,Total,32763
Júlio Mesquita,2010,Total,4430
Jumirim,2010,Total,2798
Jundiaí,2010,Total,370126
Junqueirópolis,2010,Total,18726
Juquiá,2010,Total,19246
Juquitiba,2010,Total,28737
Lagoinha,2010,Total,4841
Laranjal Paulista,2010,Total,25251
Lavínia,2010,Total,8779
Lavrinhas,2010,Total,6590
Leme,2010,Total,91756
Lençóis Paulista,2010,Total,61428
Limeira,2010,Total,276022
Lindóia,2010,Total,6712
Lins,2010,Total,71432
Lorena,2010,Total,82537
Lourdes,2010,Total,2128
Louveira,2010,Total,37125
Lucélia,2010,Total,19882
Lucianópolis,2010,Total,2249
Luís Antônio,2010,Total,11286
Luiziânia,2010,Total,5030
Lupércio,2010,Total,4353
Lutécia,2010,Total,2714
Macatuba,2010,Total,16259
Macaubal,2010,Total,7663
Macedônia,2010,Total,3664
Magda,2010,Total,3200
Mairinque,2010,Total,43223
Mairiporã,2010,Total,80956
Manduri,2010,Total,8992
Marabá Paulista,2010,Total,4812
Maracaí,2010,Total,13332
Marapoama,2010,Total,2633
Mariápolis,2010,Total,3916
Marília,2010,Total,216745
Marinópolis,2010,Total,2113
Martinópolis,2010,Total,24219
Matão,2010,Total,76786
Mauá,2010,Total,417064
Mendonça,2010,Total,4640
Meridiano,2010,Total,3855
Mesópolis,2010,Total,1886
Miguelópolis,2010,Total,20451
Mineiros do Tietê,2010,Total,12038
Miracatu,2010,Total,20592
Mira Estrela,2010,Total,2820
Mirandópolis,2010,Total,27483
Mirante do Paranapanema,2010,Total,17059
Mirassol,2010,Total,53792
Mirassolândia,2010,Total,4295
Mococa,2010,Total,66290
Mogi das Cruzes,2010,Total,387779
Mogi Guaçu,2010,Total,137245
Mogi Mirim,2010,Total,86505
Mombuca,2010,Total,3266
Monções,2010,Total,2132
Mongaguá,2010,Total,46293
Monte Alegre do Sul,2010,Total,7152
Monte Alto,2010,Total,46642
Monte Aprazível,2010,Total,21746
Monte Azul Paulista,2010,Total,18931
Monte Castelo,2010,Total,4063
Monteiro Lobato,2010,Total,4120
Monte Mor,2010,Total,48949
Morro Agudo,2010,Total,29116
Morungaba,2010,Total,11769
Motuca,2010,Total,4290
Murutinga do Sul,2010,Total,4186
Nantes,2010,Total,2707
Narandiba,2010,Total,4288
Natividade da Serra,2010,Total,6678
Nazaré Paulista,2010,Total,16414
Neves Paulista,2010,Total,8772
Nhandeara,2010,Total,10725
Nipoã,2010,Total,4274
Nova Aliança,2010,Total,5891
Nova Campina,2010,Total,8515
Nova Canaã Paulista,2010,Total,2114
Nova Castilho,2010,Total,1125
Nova Europa,2010,Total,9300
Nova Granada,2010,Total,19180
Nova Guataporanga,2010,Total,2177
Nova Independência,2010,Total,3068
Novais,2010,Total,4592
Nova Luzitânia,2010,Total,3441
Nova Odessa,2010,Total,51242
Novo Horizonte,2010,Total,36593
Nuporanga,2010,Total,6817
Ocauçu,2010,Total,4163
Óleo,2010,Total,2673
Olímpia,2010,Total,50024
Onda Verde,2010,Total,3884
Oriente,2010,Total,6097
Orindiúva,2010,Total,5675
Orlândia,2010,Total,39781
Osasco,2010,Total,666740
Oscar Bressane,2010,Total,2537
Osvaldo Cruz,2010,Total,30917
Ourinhos,2010,Total,103035
Ouroeste,2010,Total,8405
Ouro Verde,2010,Total,7800
Pacaembu,2010,Total,13226
Palestina,2010,Total,11051
Palmares Paulista,2010,Total,10934
Palmeira d'Oeste,2010,Total,9584
Palmital,2010,Total,21186
Panorama,2010,Total,14583
Paraguaçu Paulista,2010,Total,42278
Paraibuna,2010,Total,17388
Paraíso,2010,Total,5898
Paranapanema,2010,Total,17808
Paranapuã,2010,Total,3815
Parapuã,2010,Total,10844
Pardinho,2010,Total,5582
Pariquera-Açu,2010,Total,18446
Parisi,2010,Total,2032
Patrocínio Paulista,2010,Total,13000
Paulicéia,2010,Total,6339
Paulínia,2010,Total,82146
Paulistânia,2010,Total,1779
Paulo de Faria,2010,Total,8589
Pederneiras,2010,Total,41497
Pedra Bela,2010,Total,5780
Pedranópolis,2010,Total,2558
Pedregulho,2010,Total,15700
Pedreira,2010,Total,41558
Pedrinhas Paulista,2010,Total,2940
Pedro de Toledo,2010,Total,10204
Penápolis,2010,Total,58510
Pereira Barreto,2010,Total,24962
Pereiras,2010,Total,7454
Peruíbe,2010,Total,59773
Piacatu,2010,Total,5287
Piedade,2010,Total,52143
Pilar do Sul,2010,Total,26406
Pindamonhangaba,2010,Total,146995
Pindorama,2010,Total,15039
Pinhalzinho,2010,Total,13105
Piquerobi,2010,Total,3537
Piquete,2010,Total,14107
Piracaia,2010,Total,25116
Piracicaba,2010,Total,364571
Piraju,2010,Total,28475
Pirajuí,2010,Total,22704
Pirangi,2010,Total,10623
Pirapora do Bom Jesus,2010,Total,15733
Pirapozinho,2010,Total,24694
Pirassununga,2010,Total,70081
Piratininga,2010,Total,12072
Pitangueiras,2010,Total,35307
Planalto,2010,Total,4463
Platina,2010,Total,3192
Poá,2010,Total,106013
Poloni,2010,Total,5395
Pompéia,2010,Total,19964
Pongaí,2010,Total,3481
Pontal,2010,Total,40244
Pontalinda,2010,Total,4074
Pontes Gestal,2010,Total,2518
Populina,2010,Total,4223
Porangaba,2010,Total,8326
Porto Feliz,2010,Total,48893
Porto Ferreira,2010,Total,51400
Potim,2010,Total,19397
Potirendaba,2010,Total,15449
Pracinha,2010,Total,2858
Pradópolis,2010,Total,17377
Praia Grande,2010,Total,262051
Pratânia,2010,Total,4599
Presidente Alves,2010,Total,4123
Presidente Bernardes,2010,Total,13570
Presidente Epitácio,2010,Total,41318
Presidente Prudente,2010,Total,207610
Presidente Venceslau,2010,Total,37910
Promissão,2010,Total,35674
Quadra,2010,Total,3236
Quatá,2010,Total,12799
Queiroz,2010,Total,2808
Queluz,2010,Total,11309
Quintana,2010,Total,6004
Rafard,2010,Total,8612
Rancharia,2010,Total,28804
Redenção da Serra,2010,Total,3873
Regente Feijó,2010,Total,18494
Reginópolis,2010,Total,7323
Registro,2010,Total,54261
Restinga,2010,Total,6587
Ribeira,2010,Total,3358
Ribeirão Bonito,2010,Total,12135
Ribeirão Branco,2010,Total,18269
Ribeirão Corrente,2010,Total,4273
Ribeirão do Sul,2010,Total,4446
Ribeirão dos Índios,2010,Total,2187
Ribeirão Grande,2010,Total,7422
Ribeirão Pires,2010,Total,113068
Ribeirão Preto,2010,Total,604682
Riversul,2010,Total,6163
Rifaina,2010,Total,3436
Rincão,2010,Total,10414
Rinópolis,2010,Total,9935
Rio Claro,2010,Total,186253
Rio das Pedras,2010,Total,29501
Rio Grande da Serra,2010,Total,43974
Riolândia,2010,Total,10575
Rosana,2010,Total,19691
Roseira,2010,Total,9599
Rubiácea,2010,Total,2729
Rubinéia,2010,Total,2862
Sabino,2010,Total,5217
Sagres,2010,Total,2395
Sales,2010,Total,5451
Sales Oliveira,2010,Total,10568
Salesópolis,2010,Total,15635
Salmourão,2010,Total,4818
Saltinho,2010,Total,7059
Salto,2010,Total,105516
Salto de Pirapora,2010,Total,40132
Salto Grande,2010,Total,8787
Sandovalina,2010,Total,3699
Santa Adélia,2010,Total,14333
Santa Albertina,2010,Total,5723
Santa Bárbara d'Oeste,2010,Total,180009
Santa Branca,2010,Total,13763
Santa Clara d'Oeste,2010,Total,2084
Santa Cruz da Conceição,2010,Total,4002
Santa Cruz da Esperança,2010,Total,1953
Santa Cruz das Palmeiras,2010,Total,29932
Santa Cruz do Rio Pardo,2010,Total,43921
Santa Ernestina,2010,Total,5568
Santa Fé do Sul,2010,Total,29239
Santa Gertrudes,2010,Total,21634
Santa Isabel,2010,Total,50453
Santa Lúcia,2010,Total,8248
Santa Maria da Serra,2010,Total,5413
Santa Mercedes,2010,Total,2831
Santana da Ponte Pensa,2010,Total,1641
Santana de Parnaíba,2010,Total,108813
Santa Rita d'Oeste,2010,Total,2543
Santa Rita do Passa Quatro,2010,Total,26478
Santa Rosa de Viterbo,2010,Total,23862
Santa Salete,2010,Total,1447
Santo Anastácio,2010,Total,20475
Santo André,2010,Total,676407
Santo Antônio da Alegria,2010,Total,6304
Santo Antônio de Posse,2010,Total,20650
Santo Antônio do Aracanguá,2010,Total,7626
Santo Antônio do Jardim,2010,Total,5943
Santo Antônio do Pinhal,2010,Total,6486
Santo Expedito,2010,Total,2803
Santópolis do Aguapeí,2010,Total,4277
Santos,2010,Total,419400
São Bento do Sapucaí,2010,Total,10468
São Bernardo do Campo,2010,Total,765463
São Caetano do Sul,2010,Total,149263
São Carlos,2010,Total,221950
São Francisco,2010,Total,2793
São João da Boa Vista,2010,Total,83639
São João das Duas Pontes,2010,Total,2566
São João de Iracema,2010,Total,1780
São João do Pau d'Alho,2010,Total,2103
São Joaquim da Barra,2010,Total,46512
São José da Bela Vista,2010,Total,8406
São José do Barreiro,2010,Total,4077
São José do Rio Pardo,2010,Total,51900
São José do Rio Preto,2010,Total,408258
São José dos Campos,2010,Total,629921
São Lourenço da Serra,2010,Total,13973
São Luiz do Paraitinga,2010,Total,10397
São Manuel,2010,Total,38342
São Miguel Arcanjo,2010,Total,31450
São Paulo,2010,Total,11253503
São Pedro,2010,Total,31662
São Pedro do Turvo,2010,Total,7198
São Roque,2010,Total,78821
São Sebastião,2010,Total,73942
São Sebastião da Grama,2010,Total,12099
São Simão,2010,Total,14346
São Vicente,2010,Total,332445
Sarapuí,2010,Total,9027
Sarutaiá,2010,Total,3622
Sebastianópolis do Sul,2010,Total,3031
Serra Azul,2010,Total,11256
Serrana,2010,Total,38878
Serra Negra,2010,Total,26387
Sertãozinho,2010,Total,110074
Sete Barras,2010,Total,13005
Severínia,2010,Total,15501
Silveiras,2010,Total,5792
Socorro,2010,Total,36686
Sorocaba,2010,Total,586625
Sud Mennucci,2010,Total,7435
Sumaré,2010,Total,241311
Suzano,2010,Total,262480
Suzanápolis,2010,Total,3383
Tabapuã,2010,Total,11363
Tabatinga,2010,Total,14686
Taboão da Serra,2010,Total,244528
Taciba,2010,Total,5714
Taguaí,2010,Total,10828
Taiaçu,2010,Total,5894
Taiúva,2010,Total,5447
Tambaú,2010,Total,22406
Tanabi,2010,Total,24055
Tapiraí,2010,Total,8012
Tapiratiba,2010,Total,12737
Taquaral,2010,Total,2726
Taquaritinga,2010,Total,53988
Taquarituba,2010,Total,22291
Taquarivaí,2010,Total,5151
Tarabai,2010,Total,6607
Tarumã,2010,Total,12885
Tatuí,2010,Total,107326
Taubaté,2010,Total,278686
Tejupá,2010,Total,4809
Teodoro Sampaio,2010,Total,21386
Terra Roxa,2010,Total,8505
Tietê,2010,Total,36835
Timburi,2010,Total,2646
Torre de Pedra,2010,Total,2254
Torrinha,2010,Total,9330
Trabiju,2010,Total,1544
Tremembé,2010,Total,40984
Três Fronteiras,2010,Total,5427
Tuiuti,2010,Total,5930
Tupã,2010,Total,63476
Tupi Paulista,2010,Total,14269
Turiúba,2010,Total,1930
Turmalina,2010,Total,1978
Ubarana,2010,Total,5289
Ubatuba,2010,Total,78801
Ubirajara,2010,Total,4427
Uchoa,2010,Total,9471
União Paulista,2010,Total,1599
Urânia,2010,Total,8836
Uru,2010,Total,1251
Urupês,2010,Total,12714
Valentim Gentil,2010,Total,11036
Valinhos,2010,Total,106793
Valparaíso,2010,Total,22576
Vargem,2010,Total,8801
Vargem Grande do Sul,2010,Total,39266
Vargem Grande Paulista,2010,Total,42997
Várzea Paulista,2010,Total,107089
Vera Cruz,2010,Total,10769
Vinhedo,2010,Total,63611
Viradouro,2010,Total,17297
Vista Alegre do Alto,2010,Total,6886
Vitória Brasil,2010,Total,1737
Votorantim,2010,Total,108809
Votuporanga,2010,Total,84692
Zacarias,2010,Total,2335
Chavantes,2010,Total,12114
Estiva Gerbi,2010,Total,10044
Adamantina,2022,Total,34687
Adolfo,2022,Total,4351
Aguaí,2022,Total,32072
Águas da Prata,2022,Total,7369
Águas de Lindóia,2022,Total,17930
Águas de Santa Bárbara,2022,Total,7177
Águas de São Pedro,2022,Total,2780
Agudos,2022,Total,37680
Alambari,2022,Total,6141
Alfredo Marcondes,2022,Total,4445
Altair,2022,Total,3451
Altinópolis,2022,Total,16818
Alto Alegre,2022,Total,3841
Alumínio,2022,Total,17301
Álvares Florence,2022,Total,3915
Álvares Machado,2022,Total,27255
Álvaro de Carvalho,2022,Total,4808
Alvinlândia,2022,Total,2885
Americana,2022,Total,237240
Américo Brasiliense,2022,Total,33019
Américo de Campos,2022,Total,5870
Amparo,2022,Total,68008
Analândia,2022,Total,4589
Andradina,2022,Total,59783
Angatuba,2022,Total,24022
Anhembi,2022,Total,5674
Anhumas,2022,Total,4023
Aparecida,2022,Total,32569
Aparecida d'Oeste,2022,Total,4086
Apiaí,2022,Total,24585
Araçariguama,2022,Total,21522
Araçatuba,2022,Total,200124
Araçoiaba da Serra,2022,Total,32443
Aramina,2022,Total,5420
Arandu,2022,Total,6885
Arapeí,2022,Total,2330
Araraquara,2022,Total,242228
Araras,2022,Total,130866
Arco-Íris,2022,Total,2044
Arealva,2022,Total,8130
Areias,2022,Total,3577
Areiópolis,2022,Total,10130
Ariranha,2022,Total,7602
Artur Nogueira,2022,Total,51456
Arujá,2022,Total,86678
Aspásia,2022,Total,1842
Assis,2022,Total,101409
Atibaia,2022,Total,158647
Auriflama,2022,Total,13692
Avaí,2022,Total,4483
Avanhandava,2022,Total,11263
Avaré,2022,Total,92805
Bady Bassitt,2022,Total,27260
Balbinos,2022,Total,3887
Bálsamo,2022,Total,9596
Bananal,2022,Total,9969
Barão de Antonina,2022,Total,3531
Barbosa,2022,Total,5640
Bariri,2022,Total,31595
Barra Bonita,2022,Total,34346
Barra do Chapéu,2022,Total,5179
Barra do Turvo,2022,Total,6876
Barretos,2022,Total,122485
Barrinha,2022,Total,32092
Barueri,2022,Total,316473
Bastos,2022,Total,21503
Batatais,2022,Total,58402
Bauru,2022,Total,379146
Bebedouro,2022,Total,76373
Bento de Abreu,2022,Total,2606
Bernardino de Campos,2022,Total,11607
Bertioga,2022,Total,64188
Bilac,2022,Total,7319
Birigui,2022,Total,118979
Biritiba Mirim,2022,Total,29683
Boa Esperança do Sul,2022,Total,12978
Bocaina,2022,Total,11259
Bofete,2022,Total,10460
Boituva,2022,Total,61081
Bom Jesus dos Perdões,2022,Total,22006
Bom Sucesso de Itararé,2022,Total,3555
Borá,2022,Total,907
Boracéia,2022,Total,4715
Borborema,2022,Total,14226
Borebi,2022,Total,2713
Botucatu,2022,Total,145155
Bragança Paulista,2022,Total,176811
Braúna,2022,Total,5356
Brejo Alegre,2022,Total,2565
Brodowski,2022,Total,25201
Brotas,2022,Total,23898
Buri,2022,Total,20250
Buritama,2022,Total,17210
Buritizal,2022,Total,4356
Cabrália Paulista,2022,Total,4299
Cabreúva,2022,Total,47011
Caçapava,2022,Total,96202
Cachoeira Paulista,2022,Total,31564
Caconde,2022,Total,17101
Cafelândia,2022,Total,16654
Caiabu,2022,Total,3712
Caieiras,2022,Total,95032
Caiuá,2022,Total,5466
Cajamar,2022,Total,92689
Cajati,2022,Total,28515
Cajobi,2022,Total,9133
Cajuru,2022,Total,23830
Campina do Monte Alegre,2022,Total,5954
Campinas,2022,Total,1139047
Campo Limpo Paulista,2022,Total,77632
Campos do Jordão,2022,Total,46974
Campos Novos Paulista,2022,Total,4888
Cananéia,2022,Total,12289
Canas,2022,Total,4931
Cândido Mota,2022,Total,29449
Cândido Rodrigues,2022,Total,2889
Canitar,2022,Total,6283
Capão Bonito,2022,Total,46337
Capela do Alto,2022,Total,22866
Capivari,2022,Total,50068
Caraguatatuba,2022,Total,134873
Carapicuíba,2022,Total,386984
Cardoso,2022,Total,11345
Casa Branca,2022,Total,28083
Cássia dos Coqueiros,2022,Total,2799
Castilho,2022,Total,19977
Catanduva,2022,Total,115791
Catiguá,2022,Total,7003
Cedral,2022,Total,12618
Cerqueira César,2022,Total,21469
Cerquilho,2022,Total,44695
Cesário Lange,2022,Total,19048
Charqueada,2022,Total,15535
Clementina,2022,Total,6982
Colina,2022,Total,18486
Colômbia,2022,Total,6629
Conchal,2022,Total,28101
Conchas,2022,Total,15232
Cordeirópolis,2022,Total,24514
Coroados,2022,Total,5400
Coronel Macedo,2022,Total,4280
Corumbataí,2022,Total,4195
Cosmópolis,2022,Total,59773
Cosmorama,2022,Total,8719
Cotia,2022,Total,274413
Cravinhos,2022,Total,33281
Cristais Paulista,2022,Total,9272
Cruzália,2022,Total,2108
Cruzeiro,2022,Total,74961
Cubatão,2022,Total,112476
Cunha,2022,Total,22110
Descalvado,2022,Total,31756
Diadema,2022,Total,393237
Dirce Reis,2022,Total,1620
Divinolândia,2022,Total,11158
Dobrada,2022,Total,8759
Dois Córregos,2022,Total,24510
Dolcinópolis,2022,Total,2207
Dourado,2022,Total,8096
Dracena,2022,Total,45474
Duartina,2022,Total,12328
Dumont,2022,Total,9471
Echaporã,2022,Total,6205
Eldorado,2022,Total,13069
Elias Fausto,2022,Total,17699
Elisiário,2022,Total,3138
Embaúba,2022,Total,2323
Embu das Artes,2022,Total,250691
Embu-Guaçu,2022,Total,66970
Emilianópolis,2022,Total,3014
Engenheiro Coelho,2022,Total,19566
Espírito Santo do Pinhal,2022,Total,39816
Espírito Santo do Turvo,2022,Total,4157
Estrela d'Oeste,2022,Total,9417
Estrela do Norte,2022,Total,2703
Euclides da Cunha Paulista,2022,Total,7924
Fartura,2022,Total,16641
Fernandópolis,2022,Total,71186
Fernando Prestes,2022,Total,5942
Fernão,2022,Total,1656
Ferraz de Vasconcelos,2022,Total,179198
Flora Rica,2022,Total,1487
Floreal,2022,Total,2733
Flórida Paulista,2022,Total,12958
Florínea,2022,Total,3851
Franca,2022,Total,352536
Francisco Morato,2022,Total,165139
Franco da Rocha,2022,Total,144849
Gabriel Monteiro,2022,Total,2763
Gália,2022,Total,6380
Garça,2022,Total,42110
Gastão Vidigal,2022,Total,3252
Gavião Peixoto,2022,Total,4702
General Salgado,2022,Total,10312
Getulina,2022,Total,10232
Glicério,2022,Total,4138
Guaiçara,2022,Total,11239
Guaimbê,2022,Total,5512
Guaíra,2022,Total,39279
Guapiaçu,2022,Total,21711
Guapiara,2022,Total,17071
Guará,2022,Total,18606
Guaraçaí,2022,Total,7441
Guaraci,2022,Total,10350
Guarani d'Oeste,2022,Total,1968
Guarantã,2022,Total,6427
Guararapes,2022,Total,31043
Guararema,2022,Total,31236
Guaratinguetá,2022,Total,118044
Guareí,2022,Total,15013
Guariba,2022,Total,37498
Guarujá,2022,Total,287634
Guarulhos,2022,Total,1291771
Guatapará,2022,Total,7320
Guzolândia,2022,Total,4246
Herculândia,2022,Total,9125
